SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.89	20.89	20.89	20.888	20.89	20.89	20.89	20.918	21.0	20.89	20.89	20.89	20.89
20.89	21.0	21.0	21.0	20.997	21.0	21.0	21.0	20.917	20.899	21.0	21.0	21.0	21.0
20.89	21.0	21.0	21.0	20.997	21.0	21.0	21.0	20.917	20.899	21.0	21.0	21.0	21.0
20.89	21.0	21.0	21.0	20.997	21.0	21.0	21.0	20.917	20.899	21.0	21.0	21.0	21.0
20.888	20.997	20.997	20.997	21.0	20.996	20.996	20.996	20.913	20.895	20.996	20.996	20.996	20.996
20.89	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.917	20.899	21.0	21.0	21.0	21.0
20.89	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.917	20.899	21.0	21.0	21.0	21.0
20.89	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.917	20.899	21.0	21.0	21.0	21.0
20.918	20.917	20.917	20.917	20.913	20.917	20.917	20.917	21.0	20.922	20.914	20.914	20.914	20.914
21.0	20.899	20.899	20.899	20.895	20.899	20.899	20.899	20.922	21.0	20.89	20.89	20.89	20.89
20.89	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.914	20.89	21.0	21.0	21.0	21.0
20.89	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.914	20.89	21.0	21.0	21.0	21.0
20.89	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.914	20.89	21.0	21.0	21.0	21.0
20.89	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.914	20.89	21.0	21.0	21.0	21.0
