SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	12.371	12.365	12.371	12.371	12.365	12.893	12.371	12.929	12.408	12.371	12.89	12.365	12.89
12.371	21.0	20.995	21.0	21.0	20.996	21.0	21.0	20.473	20.419	21.0	20.996	20.996	20.996
12.365	20.995	21.0	20.995	20.995	21.0	20.995	20.995	20.469	20.461	20.995	21.0	21.0	21.0
12.371	21.0	20.995	21.0	21.0	20.995	21.0	21.0	20.473	20.419	21.0	20.996	20.996	20.996
12.371	21.0	20.995	21.0	21.0	20.995	21.0	21.0	20.473	20.419	21.0	20.996	20.996	20.996
12.365	20.996	21.0	20.995	20.995	21.0	20.995	20.995	20.469	20.416	20.995	21.0	21.0	21.0
12.893	21.0	20.995	21.0	21.0	20.995	21.0	21.0	20.473	20.419	21.0	20.995	20.995	20.995
12.371	21.0	20.995	21.0	21.0	20.995	21.0	21.0	20.473	20.419	21.0	20.996	20.996	20.996
12.929	20.473	20.469	20.473	20.473	20.469	20.473	20.473	21.0	20.867	20.473	20.469	20.469	20.469
12.408	20.419	20.461	20.419	20.419	20.416	20.419	20.419	20.867	21.0	20.419	20.416	20.416	20.416
12.371	21.0	20.995	21.0	21.0	20.995	21.0	21.0	20.473	20.419	21.0	20.996	20.996	20.996
12.89	20.996	21.0	20.996	20.996	21.0	20.995	20.996	20.469	20.416	20.996	21.0	21.0	21.0
12.365	20.996	21.0	20.996	20.996	21.0	20.995	20.996	20.469	20.416	20.996	21.0	21.0	21.0
12.89	20.996	21.0	20.996	20.996	21.0	20.995	20.996	20.469	20.416	20.996	21.0	21.0	21.0
