SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.809	20.809	20.809	20.809	20.809	20.802	20.809	18.965	21.0	20.809	20.802	20.809	20.802
20.809	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.985	20.802	21.0	21.0	21.0	21.0
20.809	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.985	20.809	21.0	21.0	21.0	21.0
20.809	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.985	20.802	21.0	21.0	21.0	21.0
20.809	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.985	20.802	21.0	21.0	21.0	21.0
20.809	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.985	20.802	21.0	21.0	21.0	21.0
20.802	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.985	20.802	21.0	21.0	21.0	21.0
20.809	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.985	20.802	21.0	21.0	21.0	21.0
18.965	18.985	18.985	18.985	18.985	18.985	18.985	18.985	21.0	18.965	18.985	18.985	18.985	18.985
21.0	20.802	20.809	20.802	20.802	20.802	20.802	20.802	18.965	21.0	20.802	20.802	20.802	20.802
20.809	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.985	20.802	21.0	21.0	21.0	21.0
20.802	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.985	20.802	21.0	21.0	21.0	21.0
20.809	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.985	20.802	21.0	21.0	21.0	21.0
20.802	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.985	20.802	21.0	21.0	21.0	21.0
