Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3



21.0	0.0	19.868	19.868	19.868	19.868	18.5	19.868	19.915	21.0	0.0	18.5	19.868	18.5



0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.996	0.0	0.0	0.0



19.868	0.0	21.0	21.0	21.0	21.0	21.0	21.0	20.841	19.868	0.0	21.0	21.0	21.0



19.868	0.0	21.0	21.0	21.0	21.0	21.0	21.0	20.841	18.5	0.0	21.0	21.0	21.0



19.868	0.0	21.0	21.0	21.0	21.0	21.0	21.0	20.841	18.5	0.0	21.0	21.0	21.0



19.868	0.0	21.0	21.0	21.0	21.0	21.0	21.0	20.841	18.5	0.0	21.0	21.0	21.0



18.5	0.0	21.0	21.0	21.0	21.0	21.0	21.0	20.841	18.5	0.0	21.0	21.0	21.0



19.868	0.0	21.0	21.0	21.0	21.0	21.0	21.0	20.841	18.5	0.0	21.0	21.0	21.0



19.915	0.0	20.841	20.841	20.841	20.841	20.841	20.841	21.0	19.915	0.0	20.841	20.841	20.841



21.0	0.0	19.868	18.5	18.5	18.5	18.5	18.5	19.915	21.0	0.0	18.5	18.5	18.5



0.0	20.996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0



18.5	0.0	21.0	21.0	21.0	21.0	21.0	21.0	20.841	18.5	0.0	21.0	21.0	21.0



19.868	0.0	21.0	21.0	21.0	21.0	21.0	21.0	20.841	18.5	0.0	21.0	21.0	21.0



18.5	0.0	21.0	21.0	21.0	21.0	21.0	21.0	20.841	18.5	0.0	21.0	21.0	21.0



