SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	1.911	19.938	19.938	19.953	19.938	19.938	19.938	19.936	21.0	1.911	19.938	19.938	19.938
1.911	21.0	2.202	2.202	3.202	2.202	2.202	2.202	2.223	2.359	21.996	2.202	2.202	2.202
19.938	2.202	21.0	21.0	21.015	21.0	21.0	21.0	19.516	18.709	1.911	21.0	21.0	21.0
19.938	2.202	21.0	21.0	21.015	21.0	21.0	21.0	19.516	18.709	1.911	21.0	21.0	21.0
19.953	3.202	21.015	21.015	21.0	21.0	21.0	21.0	19.516	18.709	2.899	21.0	21.0	21.0
19.938	2.202	21.0	21.0	21.0	21.0	21.0	21.0	19.516	18.709	1.911	21.0	21.0	21.0
19.938	2.202	21.0	21.0	21.0	21.0	21.0	21.0	19.516	18.709	1.911	21.0	21.0	21.0
19.938	2.202	21.0	21.0	21.0	21.0	21.0	21.0	19.516	18.709	1.911	21.0	21.0	21.0
19.936	2.223	19.516	19.516	19.516	19.516	19.516	19.516	21.0	20.076	1.909	20.892	20.892	20.892
21.0	2.359	18.709	18.709	18.709	18.709	18.709	18.709	20.076	21.0	1.911	19.938	19.938	19.938
1.911	21.996	1.911	1.911	2.899	1.911	1.911	1.911	1.909	1.911	21.0	2.202	2.202	2.202
19.938	2.202	21.0	21.0	21.0	21.0	21.0	21.0	20.892	19.938	2.202	21.0	21.0	21.0
19.938	2.202	21.0	21.0	21.0	21.0	21.0	21.0	20.892	19.938	2.202	21.0	21.0	21.0
19.938	2.202	21.0	21.0	21.0	21.0	21.0	21.0	20.892	19.938	2.202	21.0	21.0	21.0
