Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	17.196	17.196	17.17	17.196	17.196	17.196	17.17	17.178	17.285	17.196	17.196	17.17	17.196

17.196	21.0	21.0	20.973	21.0	21.0	21.0	20.973	20.913	20.877	21.0	21.0	20.973	21.0

17.196	21.0	21.0	20.973	21.0	21.0	21.0	20.973	20.913	20.877	21.0	21.0	20.973	21.0

17.17	20.973	20.973	21.0	20.999	20.999	20.999	21.0	20.913	20.877	20.999	20.999	21.0	20.999

17.196	21.0	21.0	20.999	21.0	21.0	21.0	20.973	20.913	20.877	21.0	21.0	20.973	21.0

17.196	21.0	21.0	20.999	21.0	21.0	21.0	20.973	20.913	20.877	21.0	21.0	20.973	21.0

17.196	21.0	21.0	20.999	21.0	21.0	21.0	20.973	20.913	20.877	21.0	21.0	20.973	21.0

17.17	20.973	20.973	21.0	20.973	20.973	20.973	21.0	20.913	20.877	20.999	20.999	21.0	20.999

17.178	20.913	20.913	20.913	20.913	20.913	20.913	20.913	21.0	20.847	20.913	20.913	20.887	20.913

17.285	20.877	20.877	20.877	20.877	20.877	20.877	20.877	20.847	21.0	20.879	20.879	20.853	20.879

17.196	21.0	21.0	20.999	21.0	21.0	21.0	20.999	20.913	20.879	21.0	21.0	20.973	21.0

17.196	21.0	21.0	20.999	21.0	21.0	21.0	20.999	20.913	20.879	21.0	21.0	20.973	21.0

17.17	20.973	20.973	21.0	20.973	20.973	20.973	21.0	20.887	20.853	20.973	20.973	21.0	20.999

17.196	21.0	21.0	20.999	21.0	21.0	21.0	20.999	20.913	20.879	21.0	21.0	20.999	21.0

