SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.785	20.785	20.785	20.785	20.785	20.809	20.785	20.734	21.0	20.785	20.809	20.785	20.809
20.785	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.835	20.809	21.0	21.0	21.0	21.0
20.785	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.835	20.785	21.0	21.0	21.0	21.0
20.785	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.835	20.809	21.0	21.0	21.0	21.0
20.785	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.835	20.809	21.0	21.0	21.0	21.0
20.785	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.835	20.809	21.0	21.0	21.0	21.0
20.809	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.835	20.809	21.0	21.0	21.0	21.0
20.785	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.835	20.809	21.0	21.0	21.0	21.0
20.734	20.835	20.835	20.835	20.835	20.835	20.835	20.835	21.0	20.734	20.835	20.835	20.835	20.835
21.0	20.809	20.785	20.809	20.809	20.809	20.809	20.809	20.734	21.0	20.809	20.809	20.809	20.809
20.785	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.835	20.809	21.0	21.0	21.0	21.0
20.809	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.835	20.809	21.0	21.0	21.0	21.0
20.785	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.835	20.809	21.0	21.0	21.0	21.0
20.809	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.835	20.809	21.0	21.0	21.0	21.0
