SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	19.677	19.676	19.678	19.678	19.678	19.485	19.678	13.937	21.0	19.678	19.485	19.678	19.485
19.677	21.0	20.995	20.998	20.998	20.998	20.998	20.998	13.727	19.485	20.998	20.998	20.998	20.998
19.676	20.995	21.0	20.999	20.999	20.999	20.999	20.999	13.726	19.676	20.999	20.999	20.999	20.999
19.678	20.998	20.999	21.0	21.0	21.0	21.0	21.0	13.727	19.485	21.0	21.0	21.0	21.0
19.678	20.998	20.999	21.0	21.0	21.0	21.0	21.0	13.727	19.485	21.0	21.0	21.0	21.0
19.678	20.998	20.999	21.0	21.0	21.0	21.0	21.0	13.727	19.485	21.0	21.0	21.0	21.0
19.485	20.998	20.999	21.0	21.0	21.0	21.0	21.0	13.727	19.485	21.0	21.0	21.0	21.0
19.678	20.998	20.999	21.0	21.0	21.0	21.0	21.0	13.727	19.485	21.0	21.0	21.0	21.0
13.937	13.727	13.726	13.727	13.727	13.727	13.727	13.727	21.0	13.937	13.727	13.727	13.727	13.727
21.0	19.485	19.676	19.485	19.485	19.485	19.485	19.485	13.937	21.0	19.485	19.485	19.485	19.485
19.678	20.998	20.999	21.0	21.0	21.0	21.0	21.0	13.727	19.485	21.0	21.0	21.0	21.0
19.485	20.998	20.999	21.0	21.0	21.0	21.0	21.0	13.727	19.485	21.0	21.0	21.0	21.0
19.678	20.998	20.999	21.0	21.0	21.0	21.0	21.0	13.727	19.485	21.0	21.0	21.0	21.0
19.485	20.998	20.999	21.0	21.0	21.0	21.0	21.0	13.727	19.485	21.0	21.0	21.0	21.0
