SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.891	20.891	20.891	20.889	20.891	20.894	20.891	20.932	21.0	20.891	20.894	20.891	20.894
20.891	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.902	20.894	21.0	21.0	21.0	21.0
20.891	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.902	20.891	21.0	21.0	21.0	21.0
20.891	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.902	20.894	21.0	21.0	21.0	21.0
20.889	20.996	20.996	20.996	21.0	20.996	20.997	20.996	20.899	20.891	20.996	20.997	20.997	20.997
20.891	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.902	20.894	21.0	21.0	21.0	21.0
20.894	21.0	21.0	21.0	20.997	21.0	21.0	21.0	20.902	20.894	21.0	21.0	21.0	21.0
20.891	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.902	20.894	21.0	21.0	21.0	21.0
20.932	20.902	20.902	20.902	20.899	20.902	20.902	20.902	21.0	20.932	20.902	20.902	20.902	20.902
21.0	20.894	20.891	20.894	20.891	20.894	20.894	20.894	20.932	21.0	20.894	20.894	20.894	20.894
20.891	21.0	21.0	21.0	20.996	21.0	21.0	21.0	20.902	20.894	21.0	21.0	21.0	21.0
20.894	21.0	21.0	21.0	20.997	21.0	21.0	21.0	20.902	20.894	21.0	21.0	21.0	21.0
20.891	21.0	21.0	21.0	20.997	21.0	21.0	21.0	20.902	20.894	21.0	21.0	21.0	21.0
20.894	21.0	21.0	21.0	20.997	21.0	21.0	21.0	20.902	20.894	21.0	21.0	21.0	21.0
