SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.901	20.899	20.899	20.901	20.901	20.822	20.901	20.873	20.996	20.901	20.822	20.901	20.822
20.901	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.824	21.0	21.0	21.0	21.0
20.899	20.998	21.0	20.996	20.998	20.998	20.998	20.998	20.88	20.904	20.998	20.998	20.998	20.998
20.899	20.998	20.996	21.0	20.998	20.998	20.998	20.998	20.879	20.822	20.998	20.998	20.998	20.998
20.901	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.824	21.0	21.0	21.0	21.0
20.901	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.824	21.0	21.0	21.0	21.0
20.822	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.824	21.0	21.0	21.0	21.0
20.901	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.824	21.0	21.0	21.0	21.0
20.873	20.882	20.88	20.879	20.882	20.882	20.882	20.882	21.0	20.875	20.882	20.882	20.882	20.882
20.996	20.824	20.904	20.822	20.824	20.824	20.824	20.824	20.875	21.0	20.824	20.824	20.824	20.824
20.901	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.824	21.0	21.0	21.0	21.0
20.822	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.824	21.0	21.0	21.0	21.0
20.901	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.824	21.0	21.0	21.0	21.0
20.822	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.824	21.0	21.0	21.0	21.0
