Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	18.172	18.172	18.146	18.172	18.172	18.172	18.146	18.154	18.268	18.172	18.172	18.146	18.172

18.172	21.0	21.0	20.973	21.0	21.0	21.0	20.973	20.913	20.872	21.0	21.0	20.973	21.0

18.172	21.0	21.0	20.973	21.0	21.0	21.0	20.973	20.913	20.872	21.0	21.0	20.973	21.0

18.146	20.973	20.973	21.0	20.999	20.999	20.999	21.0	20.913	20.872	20.999	20.999	21.0	20.999

18.172	21.0	21.0	20.999	21.0	21.0	21.0	20.973	20.913	20.872	21.0	21.0	20.973	21.0

18.172	21.0	21.0	20.999	21.0	21.0	21.0	20.973	20.913	20.872	21.0	21.0	20.973	21.0

18.172	21.0	21.0	20.999	21.0	21.0	21.0	20.973	20.913	20.872	21.0	21.0	20.973	21.0

18.146	20.973	20.973	21.0	20.973	20.973	20.973	21.0	20.913	20.872	20.999	20.999	21.0	20.999

18.154	20.913	20.913	20.913	20.913	20.913	20.913	20.913	21.0	20.842	20.913	20.913	20.887	20.913

18.268	20.872	20.872	20.872	20.872	20.872	20.872	20.872	20.842	21.0	20.873	20.873	20.847	20.873

18.172	21.0	21.0	20.999	21.0	21.0	21.0	20.999	20.913	20.873	21.0	21.0	20.973	21.0

18.172	21.0	21.0	20.999	21.0	21.0	21.0	20.999	20.913	20.873	21.0	21.0	20.973	21.0

18.146	20.973	20.973	21.0	20.973	20.973	20.973	21.0	20.887	20.847	20.973	20.973	21.0	20.999

18.172	21.0	21.0	20.999	21.0	21.0	21.0	20.999	20.913	20.873	21.0	21.0	20.999	21.0

