Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3



21.0	19.876	19.876	19.876	19.876	19.876	18.513	19.876	19.914	21.0	19.876	18.513	19.876	18.513



19.876	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	18.513	21.0	21.0	21.0	21.0



19.876	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	19.876	21.0	21.0	21.0	21.0



19.876	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	18.513	21.0	21.0	21.0	21.0



19.876	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	18.513	21.0	21.0	21.0	21.0



19.876	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	18.513	21.0	21.0	21.0	21.0



18.513	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	18.513	21.0	21.0	21.0	21.0



19.876	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	18.513	21.0	21.0	21.0	21.0



19.914	20.846	20.846	20.846	20.846	20.846	20.846	20.846	21.0	19.914	20.846	20.846	20.846	20.846



21.0	18.513	19.876	18.513	18.513	18.513	18.513	18.513	19.914	21.0	18.513	18.513	18.513	18.513



19.876	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	18.513	21.0	21.0	21.0	21.0



18.513	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	18.513	21.0	21.0	21.0	21.0



19.876	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	18.513	21.0	21.0	21.0	21.0



18.513	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	18.513	21.0	21.0	21.0	21.0



