SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.896	20.895	20.893	20.896	20.896	20.896	20.896	20.869	20.994	20.896	20.896	20.896	20.896
20.896	21.0	20.998	20.997	21.0	21.0	21.0	21.0	20.873	20.899	21.0	21.0	21.0	21.0
20.895	20.998	21.0	20.996	20.999	20.999	20.999	20.999	20.872	20.899	20.999	20.999	20.999	20.999
20.893	20.997	20.996	21.0	20.998	20.998	20.998	20.998	20.871	20.897	20.998	20.998	20.998	20.998
20.896	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.873	20.899	21.0	21.0	21.0	21.0
20.896	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.873	20.899	21.0	21.0	21.0	21.0
20.896	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.873	20.899	21.0	21.0	21.0	21.0
20.896	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.873	20.899	21.0	21.0	21.0	21.0
20.869	20.873	20.872	20.871	20.873	20.873	20.873	20.873	21.0	20.882	20.882	20.882	20.882	20.882
20.994	20.899	20.899	20.897	20.899	20.899	20.899	20.899	20.882	21.0	20.9	20.9	20.9	20.9
20.896	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.882	20.9	21.0	21.0	21.0	21.0
20.896	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.882	20.9	21.0	21.0	21.0	21.0
20.896	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.882	20.9	21.0	21.0	21.0	21.0
20.896	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.882	20.9	21.0	21.0	21.0	21.0
