SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	16.875	16.874	16.875	16.875	16.874	16.873	16.875	16.878	21.0	16.875	16.872	16.874	16.872
16.875	21.0	20.999	21.0	21.0	20.998	21.0	21.0	19.788	16.873	21.0	20.998	20.998	20.998
16.874	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.787	16.874	20.999	21.0	21.0	21.0
16.875	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.788	16.873	21.0	20.998	20.998	20.998
16.875	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.788	16.873	21.0	20.998	20.998	20.998
16.874	20.998	21.0	20.999	20.999	21.0	20.999	20.999	19.787	16.872	20.999	21.0	21.0	21.0
16.873	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.788	16.873	21.0	20.999	20.999	20.999
16.875	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.788	16.873	21.0	20.998	20.998	20.998
16.878	19.788	19.787	19.788	19.788	19.787	19.788	19.788	21.0	16.878	19.788	19.787	19.787	19.787
21.0	16.873	16.874	16.873	16.873	16.872	16.873	16.873	16.878	21.0	16.873	16.872	16.872	16.872
16.875	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.788	16.873	21.0	20.998	20.998	20.998
16.872	20.998	21.0	20.998	20.998	21.0	20.999	20.998	19.787	16.872	20.998	21.0	21.0	21.0
16.874	20.998	21.0	20.998	20.998	21.0	20.999	20.998	19.787	16.872	20.998	21.0	21.0	21.0
16.872	20.998	21.0	20.998	20.998	21.0	20.999	20.998	19.787	16.872	20.998	21.0	21.0	21.0
