SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
0.0	0.187	0.187	0.188	0.187	0.187	0.148	0.188	0.149	0.183	0.187	0.148	0.188	0.148
0.187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.008	0.0	0.0	0.0	0.0
0.187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.006	0.0	0.0	0.0	0.0
0.188	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.009	0.008	0.0	0.001	0.0	0.001
0.187	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.007	0.008	0.0	0.0	0.0	0.0
0.187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.008	0.0	0.0	0.0	0.0
0.148	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.007	0.008	0.0	0.0	0.001	0.0
0.188	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.009	0.008	0.0	0.001	0.0	0.001
0.149	0.007	0.007	0.009	0.007	0.007	0.007	0.009	0.0	0.01	0.007	0.007	0.009	0.007
0.183	0.008	0.006	0.008	0.008	0.008	0.008	0.008	0.01	0.0	0.008	0.008	0.008	0.008
0.187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.008	0.0	0.0	0.0	0.0
0.148	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.007	0.008	0.0	0.0	0.001	0.0
0.188	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.009	0.008	0.0	0.001	0.0	0.001
0.148	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.007	0.008	0.0	0.0	0.001	0.0
