SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.965	20.965	20.965	20.965	20.965	20.965	20.965	20.943	21.0	20.965	20.965	20.965	20.965
20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.961	20.963	21.0	21.0	21.0	21.0
20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.961	20.963	21.0	21.0	21.0	21.0
20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.961	20.963	21.0	21.0	21.0	21.0
20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.961	20.963	21.0	21.0	21.0	21.0
20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.961	20.963	21.0	21.0	21.0	21.0
20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.961	20.963	21.0	21.0	21.0	21.0
20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.961	20.963	21.0	21.0	21.0	21.0
20.943	20.961	20.961	20.961	20.961	20.961	20.961	20.961	21.0	20.946	20.966	20.966	20.966	20.966
21.0	20.963	20.963	20.963	20.963	20.963	20.963	20.963	20.946	21.0	20.963	20.963	20.963	20.963
20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.966	20.963	21.0	21.0	21.0	21.0
20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.966	20.963	21.0	21.0	21.0	21.0
20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.966	20.963	21.0	21.0	21.0	21.0
20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.966	20.963	21.0	21.0	21.0	21.0
