Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	20.833	20.832	20.833	20.833	20.832	20.833	20.833	20.844	21.0	20.833	20.832	20.832	20.832

20.833	21.0	20.999	21.0	21.0	20.999	21.0	21.0	20.905	20.858	21.0	20.999	20.999	20.999

20.832	20.999	21.0	20.999	20.999	21.0	20.999	20.999	20.904	20.857	20.999	21.0	21.0	21.0

20.833	21.0	20.999	21.0	21.0	20.999	21.0	21.0	20.905	20.858	21.0	20.999	20.999	20.999

20.833	21.0	20.999	21.0	21.0	20.999	21.0	21.0	20.905	20.858	21.0	20.999	20.999	20.999

20.832	20.999	21.0	20.999	20.999	21.0	20.999	20.999	20.904	20.857	20.999	21.0	21.0	21.0

20.833	21.0	20.999	21.0	21.0	20.999	21.0	21.0	20.905	20.858	21.0	20.999	20.999	20.999

20.833	21.0	20.999	21.0	21.0	20.999	21.0	21.0	20.905	20.858	21.0	20.999	20.999	20.999

20.844	20.905	20.904	20.905	20.905	20.904	20.905	20.905	21.0	20.889	20.907	20.906	20.906	20.906

21.0	20.858	20.857	20.858	20.858	20.857	20.858	20.858	20.889	21.0	20.833	20.832	20.832	20.832

20.833	21.0	20.999	21.0	21.0	20.999	21.0	21.0	20.907	20.833	21.0	20.999	20.999	20.999

20.832	20.999	21.0	20.999	20.999	21.0	20.999	20.999	20.906	20.832	20.999	21.0	21.0	21.0

20.832	20.999	21.0	20.999	20.999	21.0	20.999	20.999	20.906	20.832	20.999	21.0	21.0	21.0

20.832	20.999	21.0	20.999	20.999	21.0	20.999	20.999	20.906	20.832	20.999	21.0	21.0	21.0

