SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	14.341	14.447	14.447	14.447	14.341	14.364	14.447	14.34	20.992	14.341	14.465	14.447	14.465
14.341	21.0	17.0	17.0	17.0	17.0	17.0	17.0	16.891	14.364	17.0	17.0	17.0	17.0
14.447	17.0	21.0	21.0	21.0	17.0	17.861	21.0	18.056	14.447	17.0	21.0	21.0	21.0
14.447	17.0	21.0	21.0	21.0	17.0	17.861	21.0	18.056	14.465	17.0	21.0	21.0	21.0
14.447	17.0	21.0	21.0	21.0	17.0	17.861	21.0	18.056	14.465	17.0	21.0	21.0	21.0
14.341	17.0	17.0	17.0	17.0	21.0	17.0	17.0	16.891	14.364	17.0	17.0	17.0	17.0
14.364	17.0	17.861	17.861	17.861	17.0	21.0	17.861	17.437	14.364	17.0	17.861	17.861	17.861
14.447	17.0	21.0	21.0	21.0	17.0	17.861	21.0	18.056	14.465	17.0	21.0	21.0	21.0
14.34	16.891	18.056	18.056	18.056	16.891	17.437	18.056	21.0	14.34	16.891	18.056	18.056	18.056
20.992	14.364	14.447	14.465	14.465	14.364	14.364	14.465	14.34	21.0	14.364	14.465	14.465	14.465
14.341	17.0	17.0	17.0	17.0	17.0	17.0	17.0	16.891	14.364	21.0	17.0	17.0	17.0
14.465	17.0	21.0	21.0	21.0	17.0	17.861	21.0	18.056	14.465	17.0	21.0	21.0	21.0
14.447	17.0	21.0	21.0	21.0	17.0	17.861	21.0	18.056	14.465	17.0	21.0	21.0	21.0
14.465	17.0	21.0	21.0	21.0	17.0	17.861	21.0	18.056	14.465	17.0	21.0	21.0	21.0
