SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.906	20.904	20.904	20.906	20.906	20.826	20.906	20.875	20.996	20.906	20.826	20.906	20.826
20.906	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.888	20.829	21.0	21.0	21.0	21.0
20.904	20.998	21.0	20.996	20.998	20.998	20.998	20.998	20.886	20.908	20.998	20.998	20.998	20.998
20.904	20.998	20.996	21.0	20.998	20.998	20.998	20.998	20.885	20.826	20.998	20.998	20.998	20.998
20.906	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.888	20.829	21.0	21.0	21.0	21.0
20.906	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.888	20.829	21.0	21.0	21.0	21.0
20.826	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.888	20.829	21.0	21.0	21.0	21.0
20.906	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.888	20.829	21.0	21.0	21.0	21.0
20.875	20.888	20.886	20.885	20.888	20.888	20.888	20.888	21.0	20.877	20.888	20.888	20.888	20.888
20.996	20.829	20.908	20.826	20.829	20.829	20.829	20.829	20.877	21.0	20.829	20.829	20.829	20.829
20.906	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.888	20.829	21.0	21.0	21.0	21.0
20.826	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.888	20.829	21.0	21.0	21.0	21.0
20.906	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.888	20.829	21.0	21.0	21.0	21.0
20.826	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.888	20.829	21.0	21.0	21.0	21.0
