Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	17.984	17.982	17.984	17.984	17.982	17.984	17.984	17.988	21.0	17.984	17.982	17.982	17.982

17.984	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.985	18.036	21.0	20.999	20.999	20.999

17.982	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.983	18.034	20.999	21.0	21.0	21.0

17.984	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.985	18.036	21.0	20.999	20.999	20.999

17.984	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.985	18.036	21.0	20.999	20.999	20.999

17.982	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.983	18.034	20.999	21.0	21.0	21.0

17.984	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.985	18.036	21.0	20.999	20.999	20.999

17.984	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.985	18.036	21.0	20.999	20.999	20.999

17.988	19.985	19.983	19.985	19.985	19.983	19.985	19.985	21.0	18.033	19.91	19.908	19.908	19.908

21.0	18.036	18.034	18.036	18.036	18.034	18.036	18.036	18.033	21.0	17.984	17.982	17.982	17.982

17.984	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.91	17.984	21.0	20.999	20.999	20.999

17.982	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.908	17.982	20.999	21.0	21.0	21.0

17.982	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.908	17.982	20.999	21.0	21.0	21.0

17.982	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.908	17.982	20.999	21.0	21.0	21.0

