SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
0.0	0.003	0.003	0.003	0.003	0.098	0.003	0.003	0.073	0.0	0.003	0.003	0.003	0.003
0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0
0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0
0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0
0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0
0.098	0.095	0.095	0.095	0.095	0.0	0.095	0.095	0.167	0.098	0.095	0.095	0.095	0.095
0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0
0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0
0.073	0.072	0.072	0.072	0.072	0.167	0.072	0.072	0.0	0.073	0.072	0.072	0.072	0.072
0.0	0.003	0.003	0.003	0.003	0.098	0.003	0.003	0.073	0.0	0.003	0.003	0.003	0.003
0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0
0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0
0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0
0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0
