Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

0.0	0.955	0.097	0.097	0.097	0.097	0.097	0.097	0.095	0.045	0.955	0.097	0.097	0.097

0.955	0.0	0.955	0.955	0.909	0.955	0.955	0.955	0.955	0.955	0.0	0.955	0.955	0.955

0.097	0.955	0.0	0.045	0.045	0.045	0.045	0.045	0.114	0.157	0.955	0.045	0.045	0.045

0.097	0.955	0.045	0.0	0.045	0.045	0.045	0.045	0.114	0.157	0.955	0.045	0.045	0.045

0.097	0.909	0.045	0.045	0.0	0.045	0.045	0.045	0.114	0.157	0.909	0.045	0.045	0.045

0.097	0.955	0.045	0.045	0.045	0.0	0.045	0.045	0.114	0.157	0.955	0.045	0.045	0.045

0.097	0.955	0.045	0.045	0.045	0.045	0.0	0.045	0.114	0.157	0.955	0.045	0.045	0.045

0.097	0.955	0.045	0.045	0.045	0.045	0.045	0.0	0.114	0.157	0.955	0.045	0.045	0.045

0.095	0.955	0.114	0.114	0.114	0.114	0.114	0.114	0.0	0.095	0.955	0.053	0.053	0.053

0.045	0.955	0.157	0.157	0.157	0.157	0.157	0.157	0.095	0.0	0.955	0.097	0.097	0.097

0.955	0.0	0.955	0.955	0.909	0.955	0.955	0.955	0.955	0.955	0.0	0.955	0.955	0.955

0.097	0.955	0.045	0.045	0.045	0.045	0.045	0.045	0.053	0.097	0.955	0.0	0.045	0.045

0.097	0.955	0.045	0.045	0.045	0.045	0.045	0.045	0.053	0.097	0.955	0.045	0.0	0.045

0.097	0.955	0.045	0.045	0.045	0.045	0.045	0.045	0.053	0.097	0.955	0.045	0.045	0.0

