SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	17.068	17.066	17.068	17.068	17.066	17.068	17.068	17.014	21.0	17.068	17.066	17.066	17.066
17.068	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.78	17.111	21.0	20.999	20.999	20.999
17.066	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.778	17.109	20.999	21.0	21.0	21.0
17.068	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.78	17.111	21.0	20.999	20.999	20.999
17.068	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.78	17.111	21.0	20.999	20.999	20.999
17.066	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.778	17.109	20.999	21.0	21.0	21.0
17.068	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.78	17.111	21.0	20.999	20.999	20.999
17.068	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.78	17.111	21.0	20.999	20.999	20.999
17.014	19.78	19.778	19.78	19.78	19.778	19.78	19.78	21.0	17.111	19.766	19.764	19.764	19.764
21.0	17.111	17.109	17.111	17.111	17.109	17.111	17.111	17.111	21.0	17.068	17.066	17.066	17.066
17.068	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.766	17.068	21.0	20.999	20.999	20.999
17.066	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.764	17.066	20.999	21.0	21.0	21.0
17.066	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.764	17.066	20.999	21.0	21.0	21.0
17.066	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.764	17.066	20.999	21.0	21.0	21.0
