SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.904	20.902	20.902	20.904	20.904	20.825	20.904	20.876	20.996	20.904	20.825	20.904	20.825
20.904	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.827	21.0	21.0	21.0	21.0
20.902	20.998	21.0	20.996	20.998	20.998	20.998	20.998	20.88	20.907	20.998	20.998	20.998	20.998
20.902	20.998	20.996	21.0	20.998	20.998	20.998	20.998	20.879	20.825	20.998	20.998	20.998	20.998
20.904	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.827	21.0	21.0	21.0	21.0
20.904	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.827	21.0	21.0	21.0	21.0
20.825	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.827	21.0	21.0	21.0	21.0
20.904	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.827	21.0	21.0	21.0	21.0
20.876	20.882	20.88	20.879	20.882	20.882	20.882	20.882	21.0	20.878	20.882	20.882	20.882	20.882
20.996	20.827	20.907	20.825	20.827	20.827	20.827	20.827	20.878	21.0	20.827	20.827	20.827	20.827
20.904	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.827	21.0	21.0	21.0	21.0
20.825	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.827	21.0	21.0	21.0	21.0
20.904	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.827	21.0	21.0	21.0	21.0
20.825	21.0	20.998	20.998	21.0	21.0	21.0	21.0	20.882	20.827	21.0	21.0	21.0	21.0
