SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.897	20.896	20.894	20.897	20.897	20.897	20.897	20.883	21.0	20.897	20.897	20.897	20.897
20.897	21.0	20.998	20.997	21.0	21.0	21.0	21.0	20.88	20.895	21.0	21.0	21.0	21.0
20.896	20.998	21.0	20.996	20.999	20.999	20.999	20.999	20.879	20.895	20.999	20.999	20.999	20.999
20.894	20.997	20.996	21.0	20.998	20.998	20.998	20.998	20.878	20.893	20.998	20.998	20.998	20.998
20.897	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.88	20.895	21.0	21.0	21.0	21.0
20.897	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.88	20.895	21.0	21.0	21.0	21.0
20.897	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.88	20.895	21.0	21.0	21.0	21.0
20.897	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.88	20.895	21.0	21.0	21.0	21.0
20.883	20.88	20.879	20.878	20.88	20.88	20.88	20.88	21.0	20.894	20.894	20.894	20.894	20.894
21.0	20.895	20.895	20.893	20.895	20.895	20.895	20.895	20.894	21.0	20.897	20.897	20.897	20.897
20.897	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.894	20.897	21.0	21.0	21.0	21.0
20.897	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.894	20.897	21.0	21.0	21.0	21.0
20.897	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.894	20.897	21.0	21.0	21.0	21.0
20.897	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.894	20.897	21.0	21.0	21.0	21.0
