SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.929	20.929	20.929	20.929	18.941	20.938	20.929	19.473	21.0	20.929	20.938	20.929	20.938
20.929	21.0	21.0	21.0	21.0	19.0	21.0	21.0	19.486	20.938	21.0	21.0	21.0	21.0
20.929	21.0	21.0	21.0	21.0	19.0	21.0	21.0	19.486	20.929	21.0	21.0	21.0	21.0
20.929	21.0	21.0	21.0	21.0	19.0	21.0	21.0	19.486	20.938	21.0	21.0	21.0	21.0
20.929	21.0	21.0	21.0	21.0	19.0	21.0	21.0	19.486	20.938	21.0	21.0	21.0	21.0
18.941	19.0	19.0	19.0	19.0	21.0	19.0	19.0	17.491	18.946	19.0	19.0	19.0	19.0
20.938	21.0	21.0	21.0	21.0	19.0	21.0	21.0	19.486	20.938	21.0	21.0	21.0	21.0
20.929	21.0	21.0	21.0	21.0	19.0	21.0	21.0	19.486	20.938	21.0	21.0	21.0	21.0
19.473	19.486	19.486	19.486	19.486	17.491	19.486	19.486	21.0	19.473	19.486	19.486	19.486	19.486
21.0	20.938	20.929	20.938	20.938	18.946	20.938	20.938	19.473	21.0	20.938	20.938	20.938	20.938
20.929	21.0	21.0	21.0	21.0	19.0	21.0	21.0	19.486	20.938	21.0	21.0	21.0	21.0
20.938	21.0	21.0	21.0	21.0	19.0	21.0	21.0	19.486	20.938	21.0	21.0	21.0	21.0
20.929	21.0	21.0	21.0	21.0	19.0	21.0	21.0	19.486	20.938	21.0	21.0	21.0	21.0
20.938	21.0	21.0	21.0	21.0	19.0	21.0	21.0	19.486	20.938	21.0	21.0	21.0	21.0
