Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

0.0	0.145	0.052	0.052	0.052	0.052	0.052	0.052	0.051	0.048	0.052	0.052	0.052	0.052

0.145	0.0	0.143	0.143	0.143	0.143	0.143	0.143	0.145	0.145	0.143	0.143	0.143	0.143

0.052	0.143	0.0	0.048	0.048	0.048	0.048	0.048	0.051	0.052	0.048	0.048	0.048	0.048

0.052	0.143	0.048	0.0	0.048	0.048	0.048	0.048	0.05	0.051	0.048	0.048	0.048	0.048

0.052	0.143	0.048	0.048	0.0	0.048	0.048	0.048	0.05	0.051	0.048	0.048	0.048	0.048

0.052	0.143	0.048	0.048	0.048	0.0	0.048	0.048	0.05	0.051	0.048	0.048	0.048	0.048

0.052	0.143	0.048	0.048	0.048	0.048	0.0	0.048	0.05	0.051	0.048	0.048	0.048	0.048

0.052	0.143	0.048	0.048	0.048	0.048	0.048	0.0	0.05	0.051	0.048	0.048	0.048	0.048

0.051	0.145	0.051	0.05	0.05	0.05	0.05	0.05	0.0	0.052	0.05	0.05	0.05	0.05

0.048	0.145	0.052	0.051	0.051	0.051	0.051	0.051	0.052	0.0	0.051	0.051	0.051	0.051

0.052	0.143	0.048	0.048	0.048	0.048	0.048	0.048	0.05	0.051	0.0	0.048	0.048	0.048

0.052	0.143	0.048	0.048	0.048	0.048	0.048	0.048	0.05	0.051	0.048	0.0	0.048	0.048

0.052	0.143	0.048	0.048	0.048	0.048	0.048	0.048	0.05	0.051	0.048	0.048	0.0	0.048

0.052	0.143	0.048	0.048	0.048	0.048	0.048	0.048	0.05	0.051	0.048	0.048	0.048	0.0

