SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.814	20.813	20.814	20.814	20.813	20.846	20.814	20.876	21.0	20.814	20.844	20.813	20.844
20.814	21.0	20.999	21.0	21.0	20.999	21.0	21.0	20.893	20.846	21.0	20.999	20.999	20.999
20.813	20.999	21.0	20.999	20.999	21.0	20.999	20.999	20.892	20.813	20.999	21.0	21.0	21.0
20.814	21.0	20.999	21.0	21.0	20.999	21.0	21.0	20.893	20.846	21.0	20.999	20.999	20.999
20.814	21.0	20.999	21.0	21.0	20.999	21.0	21.0	20.893	20.846	21.0	20.999	20.999	20.999
20.813	20.999	21.0	20.999	20.999	21.0	20.999	20.999	20.892	20.844	20.999	21.0	21.0	21.0
20.846	21.0	20.999	21.0	21.0	20.999	21.0	21.0	20.893	20.846	21.0	20.999	20.999	20.999
20.814	21.0	20.999	21.0	21.0	20.999	21.0	21.0	20.893	20.846	21.0	20.999	20.999	20.999
20.876	20.893	20.892	20.893	20.893	20.892	20.893	20.893	21.0	20.876	20.893	20.892	20.892	20.892
21.0	20.846	20.813	20.846	20.846	20.844	20.846	20.846	20.876	21.0	20.846	20.844	20.844	20.844
20.814	21.0	20.999	21.0	21.0	20.999	21.0	21.0	20.893	20.846	21.0	20.999	20.999	20.999
20.844	20.999	21.0	20.999	20.999	21.0	20.999	20.999	20.892	20.844	20.999	21.0	21.0	21.0
20.813	20.999	21.0	20.999	20.999	21.0	20.999	20.999	20.892	20.844	20.999	21.0	21.0	21.0
20.844	20.999	21.0	20.999	20.999	21.0	20.999	20.999	20.892	20.844	20.999	21.0	21.0	21.0
