Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	20.922	20.922	20.922	20.922	18.932	20.922	20.922	20.021	21.0	20.922	20.922	20.922	20.922

20.922	21.0	21.0	21.0	21.0	19.0	21.0	21.0	20.051	20.929	21.0	21.0	21.0	21.0

20.922	21.0	21.0	21.0	21.0	19.0	21.0	21.0	20.051	20.929	21.0	21.0	21.0	21.0

20.922	21.0	21.0	21.0	21.0	19.0	21.0	21.0	20.051	20.929	21.0	21.0	21.0	21.0

20.922	21.0	21.0	21.0	21.0	19.0	21.0	21.0	20.051	20.929	21.0	21.0	21.0	21.0

18.932	19.0	19.0	19.0	19.0	21.0	19.064	19.064	17.861	19.003	19.064	19.064	19.064	19.064

20.922	21.0	21.0	21.0	21.0	19.064	21.0	21.0	20.051	20.929	21.0	21.0	21.0	21.0

20.922	21.0	21.0	21.0	21.0	19.064	21.0	21.0	20.051	20.929	21.0	21.0	21.0	21.0

20.021	20.051	20.051	20.051	20.051	17.861	20.051	20.051	21.0	19.513	19.536	19.536	19.536	19.536

21.0	20.929	20.929	20.929	20.929	19.003	20.929	20.929	19.513	21.0	20.922	20.922	20.922	20.922

20.922	21.0	21.0	21.0	21.0	19.064	21.0	21.0	19.536	20.922	21.0	21.0	21.0	21.0

20.922	21.0	21.0	21.0	21.0	19.064	21.0	21.0	19.536	20.922	21.0	21.0	21.0	21.0

20.922	21.0	21.0	21.0	21.0	19.064	21.0	21.0	19.536	20.922	21.0	21.0	21.0	21.0

20.922	21.0	21.0	21.0	21.0	19.064	21.0	21.0	19.536	20.922	21.0	21.0	21.0	21.0

