Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3



21.0	20.874	20.874	20.874	20.874	20.874	20.865	20.874	20.995	20.874	20.865	20.874	20.865



20.874	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.869	21.0	21.0	21.0	21.0



20.874	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.881	21.0	21.0	21.0	21.0



20.874	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.869	21.0	21.0	21.0	21.0



20.874	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.869	21.0	21.0	21.0	21.0



20.874	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.869	21.0	21.0	21.0	21.0



20.865	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.869	21.0	21.0	21.0	21.0



20.874	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.869	21.0	21.0	21.0	21.0



20.995	20.869	20.881	20.869	20.869	20.869	20.869	20.869	21.0	20.869	20.869	20.869	20.869



20.874	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.869	21.0	21.0	21.0	21.0



20.865	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.869	21.0	21.0	21.0	21.0



20.874	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.869	21.0	21.0	21.0	21.0



20.865	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.869	21.0	21.0	21.0	21.0



