Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.334	0.0	0.0

0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.0

0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.0

0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.334	0.0	0.0

0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.0

0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.334	0.0	0.0

0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.0

0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.0

0.334	0.333	0.333	0.334	0.333	0.334	0.333	0.333	0.0	0.333	0.333

0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.0

0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.0

