Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	19.888	19.888	19.888	19.888	19.888	19.888	19.888	16.094	21.0	19.888	19.888	19.888	19.888

19.888	21.0	21.0	21.0	21.0	21.0	21.0	21.0	16.117	20.74	21.0	21.0	21.0	21.0

19.888	21.0	21.0	21.0	21.0	21.0	21.0	21.0	16.117	20.74	21.0	21.0	21.0	21.0

19.888	21.0	21.0	21.0	21.0	21.0	21.0	21.0	16.117	20.74	21.0	21.0	21.0	21.0

19.888	21.0	21.0	21.0	21.0	21.0	21.0	21.0	16.117	20.74	21.0	21.0	21.0	21.0

19.888	21.0	21.0	21.0	21.0	21.0	21.0	21.0	16.117	20.74	21.0	21.0	21.0	21.0

19.888	21.0	21.0	21.0	21.0	21.0	21.0	21.0	16.117	20.74	21.0	21.0	21.0	21.0

19.888	21.0	21.0	21.0	21.0	21.0	21.0	21.0	16.117	20.74	21.0	21.0	21.0	21.0

16.094	16.117	16.117	16.117	16.117	16.117	16.117	16.117	21.0	16.244	16.375	16.375	16.375	16.375

21.0	20.74	20.74	20.74	20.74	20.74	20.74	20.74	16.244	21.0	19.888	19.888	19.888	19.888

19.888	21.0	21.0	21.0	21.0	21.0	21.0	21.0	16.375	19.888	21.0	21.0	21.0	21.0

19.888	21.0	21.0	21.0	21.0	21.0	21.0	21.0	16.375	19.888	21.0	21.0	21.0	21.0

19.888	21.0	21.0	21.0	21.0	21.0	21.0	21.0	16.375	19.888	21.0	21.0	21.0	21.0

19.888	21.0	21.0	21.0	21.0	21.0	21.0	21.0	16.375	19.888	21.0	21.0	21.0	21.0

