SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.893	20.892	20.89	20.893	20.893	20.893	20.893	20.869	20.994	20.893	20.893	20.893	20.893
20.893	21.0	20.998	20.997	21.0	21.0	21.0	21.0	20.869	20.895	21.0	21.0	21.0	21.0
20.892	20.998	21.0	20.996	20.999	20.999	20.999	20.999	20.868	20.895	20.999	20.999	20.999	20.999
20.89	20.997	20.996	21.0	20.998	20.998	20.998	20.998	20.867	20.893	20.998	20.998	20.998	20.998
20.893	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.869	20.895	21.0	21.0	21.0	21.0
20.893	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.869	20.895	21.0	21.0	21.0	21.0
20.893	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.869	20.895	21.0	21.0	21.0	21.0
20.893	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.869	20.895	21.0	21.0	21.0	21.0
20.869	20.869	20.868	20.867	20.869	20.869	20.869	20.869	21.0	20.881	20.878	20.878	20.878	20.878
20.994	20.895	20.895	20.893	20.895	20.895	20.895	20.895	20.881	21.0	20.897	20.897	20.897	20.897
20.893	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.878	20.897	21.0	21.0	21.0	21.0
20.893	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.878	20.897	21.0	21.0	21.0	21.0
20.893	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.878	20.897	21.0	21.0	21.0	21.0
20.893	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.878	20.897	21.0	21.0	21.0	21.0
