SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	11.536	11.536	11.536	11.536	11.536	11.449	11.536	10.382	21.0	11.536	11.449	11.536	11.449
11.536	21.0	21.0	21.0	21.0	21.0	21.0	21.0	17.797	11.449	21.0	21.0	21.0	21.0
11.536	21.0	21.0	21.0	21.0	21.0	21.0	21.0	17.797	11.536	21.0	21.0	21.0	21.0
11.536	21.0	21.0	21.0	21.0	21.0	21.0	21.0	17.797	11.449	21.0	21.0	21.0	21.0
11.536	21.0	21.0	21.0	21.0	21.0	21.0	21.0	17.797	11.449	21.0	21.0	21.0	21.0
11.536	21.0	21.0	21.0	21.0	21.0	21.0	21.0	17.797	11.449	21.0	21.0	21.0	21.0
11.449	21.0	21.0	21.0	21.0	21.0	21.0	21.0	17.797	11.449	21.0	21.0	21.0	21.0
11.536	21.0	21.0	21.0	21.0	21.0	21.0	21.0	17.797	11.449	21.0	21.0	21.0	21.0
10.382	17.797	17.797	17.797	17.797	17.797	17.797	17.797	21.0	10.382	17.797	17.797	17.797	17.797
21.0	11.449	11.536	11.449	11.449	11.449	11.449	11.449	10.382	21.0	11.449	11.449	11.449	11.449
11.536	21.0	21.0	21.0	21.0	21.0	21.0	21.0	17.797	11.449	21.0	21.0	21.0	21.0
11.449	21.0	21.0	21.0	21.0	21.0	21.0	21.0	17.797	11.449	21.0	21.0	21.0	21.0
11.536	21.0	21.0	21.0	21.0	21.0	21.0	21.0	17.797	11.449	21.0	21.0	21.0	21.0
11.449	21.0	21.0	21.0	21.0	21.0	21.0	21.0	17.797	11.449	21.0	21.0	21.0	21.0
