Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

0.0	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.224	0.238	0.23	0.23	0.23	0.23

0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.273	0.0	0.0	0.0	0.0

0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.273	0.0	0.0	0.0	0.0

0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.273	0.0	0.0	0.0	0.0

0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.273	0.0	0.0	0.0	0.0

0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.273	0.0	0.0	0.0	0.0

0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.273	0.0	0.0	0.0	0.0

0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.273	0.0	0.0	0.0	0.0

0.224	0.023	0.023	0.023	0.023	0.023	0.023	0.023	0.0	0.269	0.016	0.016	0.016	0.016

0.238	0.273	0.273	0.273	0.273	0.273	0.273	0.273	0.269	0.0	0.23	0.23	0.23	0.23

0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.23	0.0	0.0	0.0	0.0

0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.23	0.0	0.0	0.0	0.0

0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.23	0.0	0.0	0.0	0.0

0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.23	0.0	0.0	0.0	0.0

