SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	19.664	19.664	19.664	19.664	19.664	20.686	19.664	15.857	21.0	19.664	20.686	19.664	20.686
19.664	21.0	21.0	21.0	21.0	21.0	21.0	21.0	15.892	20.686	21.0	21.0	21.0	21.0
19.664	21.0	21.0	21.0	21.0	21.0	21.0	21.0	15.892	19.664	21.0	21.0	21.0	21.0
19.664	21.0	21.0	21.0	21.0	21.0	21.0	21.0	15.892	20.686	21.0	21.0	21.0	21.0
19.664	21.0	21.0	21.0	21.0	21.0	21.0	21.0	15.892	20.686	21.0	21.0	21.0	21.0
19.664	21.0	21.0	21.0	21.0	21.0	21.0	21.0	15.892	20.686	21.0	21.0	21.0	21.0
20.686	21.0	21.0	21.0	21.0	21.0	21.0	21.0	15.892	20.686	21.0	21.0	21.0	21.0
19.664	21.0	21.0	21.0	21.0	21.0	21.0	21.0	15.892	20.686	21.0	21.0	21.0	21.0
15.857	15.892	15.892	15.892	15.892	15.892	15.892	15.892	21.0	15.857	15.892	15.892	15.892	15.892
21.0	20.686	19.664	20.686	20.686	20.686	20.686	20.686	15.857	21.0	20.686	20.686	20.686	20.686
19.664	21.0	21.0	21.0	21.0	21.0	21.0	21.0	15.892	20.686	21.0	21.0	21.0	21.0
20.686	21.0	21.0	21.0	21.0	21.0	21.0	21.0	15.892	20.686	21.0	21.0	21.0	21.0
19.664	21.0	21.0	21.0	21.0	21.0	21.0	21.0	15.892	20.686	21.0	21.0	21.0	21.0
20.686	21.0	21.0	21.0	21.0	21.0	21.0	21.0	15.892	20.686	21.0	21.0	21.0	21.0
