Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	14.168	14.166	14.168	14.168	14.166	14.168	14.168	14.109	20.287	14.168	14.166	14.166	14.166

14.168	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.786	14.283	21.0	20.999	20.999	20.999

14.166	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.784	14.281	20.999	21.0	21.0	21.0

14.168	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.786	14.283	21.0	20.999	20.999	20.999

14.168	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.786	14.283	21.0	20.999	20.999	20.999

14.166	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.784	14.281	20.999	21.0	21.0	21.0

14.168	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.786	14.283	21.0	20.999	20.999	20.999

14.168	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.786	14.283	21.0	20.999	20.999	20.999

14.109	19.786	19.784	19.786	19.786	19.784	19.786	19.786	21.0	14.282	19.771	19.769	19.769	19.769

20.287	14.283	14.281	14.283	14.283	14.281	14.283	14.283	14.282	21.0	14.168	14.166	14.166	14.166

14.168	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.771	14.168	21.0	20.999	20.999	20.999

14.166	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.769	14.166	20.999	21.0	21.0	21.0

14.166	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.769	14.166	20.999	21.0	21.0	21.0

14.166	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.769	14.166	20.999	21.0	21.0	21.0

