SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.893	20.885	20.893	20.893	20.885	20.893	20.893	18.157	21.0	20.893	20.885	20.889	20.889
20.893	21.0	20.99	21.0	21.0	20.99	21.0	21.0	18.161	20.897	21.0	20.99	20.993	20.993
20.885	20.99	21.0	20.993	20.993	21.0	20.993	20.993	18.161	20.892	20.993	21.0	21.0	21.0
20.893	21.0	20.993	21.0	21.0	20.99	21.0	21.0	18.161	20.897	21.0	20.99	20.993	20.993
20.893	21.0	20.993	21.0	21.0	20.99	21.0	21.0	18.161	20.897	21.0	20.99	20.993	20.993
20.885	20.99	21.0	20.99	20.99	21.0	20.993	20.993	18.161	20.892	20.993	21.0	21.0	21.0
20.893	21.0	20.993	21.0	21.0	20.993	21.0	21.0	18.161	20.897	21.0	20.99	20.993	20.993
20.893	21.0	20.993	21.0	21.0	20.993	21.0	21.0	18.161	20.897	21.0	20.99	20.993	20.993
18.157	18.161	18.161	18.161	18.161	18.161	18.161	18.161	21.0	18.072	18.079	18.076	18.079	18.079
21.0	20.897	20.892	20.897	20.897	20.892	20.897	20.897	18.072	21.0	20.893	20.885	20.889	20.889
20.893	21.0	20.993	21.0	21.0	20.993	21.0	21.0	18.079	20.893	21.0	20.99	20.993	20.993
20.885	20.99	21.0	20.99	20.99	21.0	20.99	20.99	18.076	20.885	20.99	21.0	21.0	21.0
20.889	20.993	21.0	20.993	20.993	21.0	20.993	20.993	18.079	20.889	20.993	21.0	21.0	21.0
20.889	20.993	21.0	20.993	20.993	21.0	20.993	20.993	18.079	20.889	20.993	21.0	21.0	21.0
