SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
0.0	0.411	0.411	0.411	0.411	0.411	0.386	0.411	0.384	0.409	0.411	0.386	0.411	0.386
0.411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.028	0.0	0.0	0.0	0.0
0.411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.026	0.0	0.0	0.0	0.0
0.411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.028	0.0	0.0	0.0	0.0
0.411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.028	0.0	0.0	0.0	0.0
0.411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.028	0.0	0.0	0.0	0.0
0.386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.028	0.0	0.0	0.0	0.0
0.411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.028	0.0	0.0	0.0	0.0
0.384	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.0	0.006	0.025	0.025	0.025	0.025
0.409	0.028	0.026	0.028	0.028	0.028	0.028	0.028	0.006	0.0	0.028	0.028	0.028	0.028
0.411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.028	0.0	0.0	0.0	0.0
0.386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.028	0.0	0.0	0.0	0.0
0.411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.028	0.0	0.0	0.0	0.0
0.386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.028	0.0	0.0	0.0	0.0
