Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	20.92	20.92	20.92	20.92	20.92	20.92	20.92	20.909	21.0	20.92	20.92	20.92	20.92

20.92	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.921	21.0	21.0	21.0	21.0

20.92	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.921	21.0	21.0	21.0	21.0

20.92	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.921	21.0	21.0	21.0	21.0

20.92	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.921	21.0	21.0	21.0	21.0

20.92	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.921	21.0	21.0	21.0	21.0

20.92	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.921	21.0	21.0	21.0	21.0

20.92	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.921	21.0	21.0	21.0	21.0

20.909	20.924	20.924	20.924	20.924	20.924	20.924	20.924	21.0	20.917	20.929	20.929	20.929	20.929

21.0	20.921	20.921	20.921	20.921	20.921	20.921	20.921	20.917	21.0	20.92	20.92	20.92	20.92

20.92	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.929	20.92	21.0	21.0	21.0	21.0

20.92	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.929	20.92	21.0	21.0	21.0	21.0

20.92	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.929	20.92	21.0	21.0	21.0	21.0

20.92	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.929	20.92	21.0	21.0	21.0	21.0

