SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	16.44	16.44	16.44	16.44	16.44	16.44	16.44	16.609	16.008	16.44	16.44	16.44	16.44
16.44	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.532	15.258	21.0	21.0	21.0	21.0
16.44	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.532	15.258	21.0	21.0	21.0	21.0
16.44	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.532	15.258	21.0	21.0	21.0	21.0
16.44	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.532	15.258	21.0	21.0	21.0	21.0
16.44	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.532	15.258	21.0	21.0	21.0	21.0
16.44	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.532	15.258	21.0	21.0	21.0	21.0
16.44	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.532	15.258	21.0	21.0	21.0	21.0
16.609	20.532	20.532	20.532	20.532	20.532	20.532	20.532	21.0	15.363	20.66	20.66	20.66	20.66
16.008	15.258	15.258	15.258	15.258	15.258	15.258	15.258	15.363	21.0	16.423	16.423	16.423	16.423
16.44	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.66	16.423	21.0	21.0	21.0	21.0
16.44	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.66	16.423	21.0	21.0	21.0	21.0
16.44	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.66	16.423	21.0	21.0	21.0	21.0
16.44	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.66	16.423	21.0	21.0	21.0	21.0
