SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.891	20.882	20.891	20.891	20.882	20.891	20.891	17.973	21.0	20.891	20.883	20.885	20.886
20.891	21.0	20.989	21.0	21.0	20.989	21.0	21.0	17.972	20.891	21.0	20.989	20.992	20.992
20.882	20.989	21.0	20.989	20.989	21.0	20.989	20.989	17.969	20.882	20.989	21.0	20.997	20.997
20.891	21.0	20.989	21.0	21.0	20.989	21.0	21.0	17.972	20.891	21.0	20.989	20.992	20.992
20.891	21.0	20.989	21.0	21.0	20.989	21.0	21.0	17.972	20.891	21.0	20.989	20.992	20.992
20.882	20.989	21.0	20.989	20.989	21.0	20.989	20.989	17.969	20.883	20.989	21.0	20.997	20.997
20.891	21.0	20.989	21.0	21.0	20.989	21.0	21.0	17.972	20.891	21.0	20.989	20.992	20.992
20.891	21.0	20.989	21.0	21.0	20.989	21.0	21.0	17.972	20.891	21.0	20.989	20.992	20.992
17.973	17.972	17.969	17.972	17.972	17.969	17.972	17.972	21.0	17.973	17.972	17.969	17.972	17.972
21.0	20.891	20.882	20.891	20.891	20.883	20.891	20.891	17.973	21.0	20.891	20.883	20.886	20.886
20.891	21.0	20.989	21.0	21.0	20.989	21.0	21.0	17.972	20.891	21.0	20.989	20.992	20.992
20.883	20.989	21.0	20.989	20.989	21.0	20.989	20.989	17.969	20.883	20.989	21.0	20.997	20.997
20.885	20.992	20.997	20.992	20.992	20.997	20.992	20.992	17.972	20.886	20.992	20.997	21.0	21.0
20.886	20.992	20.997	20.992	20.992	20.997	20.992	20.992	17.972	20.886	20.992	20.997	21.0	21.0
