SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.833	20.833	20.833	20.833	20.833	20.799	20.833	19.829	21.0	20.825	20.799	20.833	20.799
20.833	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.769	20.799	20.995	21.0	21.0	21.0
20.833	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.769	20.833	20.995	21.0	21.0	21.0
20.833	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.769	20.799	20.993	21.0	21.0	21.0
20.833	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.769	20.799	20.993	21.0	21.0	21.0
20.833	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.769	20.799	20.995	21.0	21.0	21.0
20.799	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.769	20.799	20.993	21.0	21.0	21.0
20.833	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.769	20.799	20.993	21.0	21.0	21.0
19.829	19.769	19.769	19.769	19.769	19.769	19.769	19.769	21.0	19.829	19.762	19.769	19.769	19.769
21.0	20.799	20.833	20.799	20.799	20.799	20.799	20.799	19.829	21.0	20.794	20.799	20.799	20.799
20.825	20.995	20.995	20.993	20.993	20.995	20.993	20.993	19.762	20.794	21.0	20.993	20.993	20.993
20.799	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.769	20.799	20.993	21.0	21.0	21.0
20.833	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.769	20.799	20.993	21.0	21.0	21.0
20.799	21.0	21.0	21.0	21.0	21.0	21.0	21.0	19.769	20.799	20.993	21.0	21.0	21.0
