SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.916	20.916	20.916	20.916	20.916	20.92	20.916	20.927	21.0	20.916	20.92	20.916	20.92
20.916	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.948	20.92	21.0	21.0	21.0	21.0
20.916	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.948	20.916	21.0	21.0	21.0	21.0
20.916	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.948	20.92	21.0	21.0	21.0	21.0
20.916	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.948	20.92	21.0	21.0	21.0	21.0
20.916	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.948	20.92	21.0	21.0	21.0	21.0
20.92	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.948	20.92	21.0	21.0	21.0	21.0
20.916	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.948	20.92	21.0	21.0	21.0	21.0
20.927	20.948	20.948	20.948	20.948	20.948	20.948	20.948	21.0	20.927	20.948	20.948	20.948	20.948
21.0	20.92	20.916	20.92	20.92	20.92	20.92	20.92	20.927	21.0	20.92	20.92	20.92	20.92
20.916	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.948	20.92	21.0	21.0	21.0	21.0
20.92	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.948	20.92	21.0	21.0	21.0	21.0
20.916	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.948	20.92	21.0	21.0	21.0	21.0
20.92	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.948	20.92	21.0	21.0	21.0	21.0
