SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.902	20.902	20.902	20.902	20.902	20.906	20.902	20.903	21.0	20.902	20.906	20.902	20.906
20.902	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.906	21.0	21.0	21.0	21.0
20.902	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.902	21.0	21.0	21.0	21.0
20.902	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.906	21.0	21.0	21.0	21.0
20.902	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.906	21.0	21.0	21.0	21.0
20.902	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.906	21.0	21.0	21.0	21.0
20.906	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.906	21.0	21.0	21.0	21.0
20.902	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.906	21.0	21.0	21.0	21.0
20.903	20.924	20.924	20.924	20.924	20.924	20.924	20.924	21.0	20.903	20.924	20.924	20.924	20.924
21.0	20.906	20.902	20.906	20.906	20.906	20.906	20.906	20.903	21.0	20.906	20.906	20.906	20.906
20.902	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.906	21.0	21.0	21.0	21.0
20.906	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.906	21.0	21.0	21.0	21.0
20.902	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.906	21.0	21.0	21.0	21.0
20.906	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.924	20.906	21.0	21.0	21.0	21.0
