SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	13.89	13.889	13.89	13.89	13.889	13.889	13.89	13.889	20.294	13.89	13.888	13.889	13.888
13.89	21.0	20.999	21.0	21.0	20.998	21.0	21.0	19.792	13.889	21.0	20.998	20.998	20.998
13.889	20.999	21.0	20.999	20.999	21.0	20.999	20.999	19.791	13.889	20.999	21.0	21.0	21.0
13.89	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.792	13.889	21.0	20.998	20.998	20.998
13.89	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.792	13.889	21.0	20.998	20.998	20.998
13.889	20.998	21.0	20.999	20.999	21.0	20.999	20.999	19.791	13.888	20.999	21.0	21.0	21.0
13.889	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.792	13.889	21.0	20.999	20.999	20.999
13.89	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.792	13.889	21.0	20.998	20.998	20.998
13.889	19.792	19.791	19.792	19.792	19.791	19.792	19.792	21.0	13.889	19.792	19.791	19.791	19.791
20.294	13.889	13.889	13.889	13.889	13.888	13.889	13.889	13.889	21.0	13.889	13.888	13.888	13.888
13.89	21.0	20.999	21.0	21.0	20.999	21.0	21.0	19.792	13.889	21.0	20.998	20.998	20.998
13.888	20.998	21.0	20.998	20.998	21.0	20.999	20.998	19.791	13.888	20.998	21.0	21.0	21.0
13.889	20.998	21.0	20.998	20.998	21.0	20.999	20.998	19.791	13.888	20.998	21.0	21.0	21.0
13.888	20.998	21.0	20.998	20.998	21.0	20.999	20.998	19.791	13.888	20.998	21.0	21.0	21.0
