SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.912	20.912	20.912	20.912	20.912	20.916	20.912	20.909	21.0	20.912	20.916	20.912	20.916
20.912	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.931	20.916	21.0	21.0	21.0	21.0
20.912	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.931	20.912	21.0	21.0	21.0	21.0
20.912	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.931	20.916	21.0	21.0	21.0	21.0
20.912	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.931	20.916	21.0	21.0	21.0	21.0
20.912	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.931	20.916	21.0	21.0	21.0	21.0
20.916	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.931	20.916	21.0	21.0	21.0	21.0
20.912	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.931	20.916	21.0	21.0	21.0	21.0
20.909	20.931	20.931	20.931	20.931	20.931	20.931	20.931	21.0	20.909	20.931	20.931	20.931	20.931
21.0	20.916	20.912	20.916	20.916	20.916	20.916	20.916	20.909	21.0	20.916	20.916	20.916	20.916
20.912	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.931	20.916	21.0	21.0	21.0	21.0
20.916	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.931	20.916	21.0	21.0	21.0	21.0
20.912	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.931	20.916	21.0	21.0	21.0	21.0
20.916	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.931	20.916	21.0	21.0	21.0	21.0
