SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	18.922	18.922	18.922	18.922	18.922	18.921	18.922	11.978	21.0	18.922	18.921	18.922	18.921
18.922	21.0	21.0	21.0	21.0	21.0	21.0	21.0	13.941	18.921	21.0	21.0	21.0	21.0
18.922	21.0	21.0	21.0	21.0	21.0	21.0	21.0	13.941	18.922	21.0	21.0	21.0	21.0
18.922	21.0	21.0	21.0	21.0	21.0	21.0	21.0	13.941	18.921	21.0	21.0	21.0	21.0
18.922	21.0	21.0	21.0	21.0	21.0	21.0	21.0	13.941	18.921	21.0	21.0	21.0	21.0
18.922	21.0	21.0	21.0	21.0	21.0	21.0	21.0	13.941	18.921	21.0	21.0	21.0	21.0
18.921	21.0	21.0	21.0	21.0	21.0	21.0	21.0	13.941	18.921	21.0	21.0	21.0	21.0
18.922	21.0	21.0	21.0	21.0	21.0	21.0	21.0	13.941	18.921	21.0	21.0	21.0	21.0
11.978	13.941	13.941	13.941	13.941	13.941	13.941	13.941	21.0	11.978	13.941	13.941	13.941	13.941
21.0	18.921	18.922	18.921	18.921	18.921	18.921	18.921	11.978	21.0	18.921	18.921	18.921	18.921
18.922	21.0	21.0	21.0	21.0	21.0	21.0	21.0	13.941	18.921	21.0	21.0	21.0	21.0
18.921	21.0	21.0	21.0	21.0	21.0	21.0	21.0	13.941	18.921	21.0	21.0	21.0	21.0
18.922	21.0	21.0	21.0	21.0	21.0	21.0	21.0	13.941	18.921	21.0	21.0	21.0	21.0
18.921	21.0	21.0	21.0	21.0	21.0	21.0	21.0	13.941	18.921	21.0	21.0	21.0	21.0
