SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
0.0	0.187	0.187	0.188	0.187	0.187	0.187	0.188	0.188	0.183	0.187	0.187	0.188	0.187
0.187	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.008	0.009	0.0	0.0	0.001	0.0
0.187	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.008	0.009	0.0	0.0	0.001	0.0
0.188	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.008	0.009	0.0	0.0	0.0	0.0
0.187	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.008	0.009	0.0	0.0	0.001	0.0
0.187	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.008	0.009	0.0	0.0	0.001	0.0
0.187	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.008	0.009	0.0	0.0	0.001	0.0
0.188	0.001	0.001	0.0	0.001	0.001	0.001	0.0	0.008	0.009	0.0	0.0	0.0	0.0
0.188	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.0	0.007	0.01	0.01	0.011	0.01
0.183	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.007	0.0	0.012	0.012	0.013	0.012
0.187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.012	0.0	0.0	0.001	0.0
0.187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.012	0.0	0.0	0.001	0.0
0.188	0.001	0.001	0.0	0.001	0.001	0.001	0.0	0.011	0.013	0.001	0.001	0.0	0.0
0.187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.012	0.0	0.0	0.0	0.0
