Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

0.0	0.451	0.451	0.451	0.451	0.451	0.451	0.451	0.498	0.0	0.451	0.451	0.451	0.451

0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.149	0.454	0.0	0.0	0.0	0.0

0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.149	0.454	0.0	0.0	0.0	0.0

0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.149	0.454	0.0	0.0	0.0	0.0

0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.149	0.454	0.0	0.0	0.0	0.0

0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.149	0.454	0.0	0.0	0.0	0.0

0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.149	0.454	0.0	0.0	0.0	0.0

0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.149	0.454	0.0	0.0	0.0	0.0

0.498	0.149	0.149	0.149	0.149	0.149	0.149	0.149	0.0	0.507	0.155	0.155	0.155	0.155

0.0	0.454	0.454	0.454	0.454	0.454	0.454	0.454	0.507	0.0	0.451	0.451	0.451	0.451

0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.155	0.451	0.0	0.0	0.0	0.0

0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.155	0.451	0.0	0.0	0.0	0.0

0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.155	0.451	0.0	0.0	0.0	0.0

0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.155	0.451	0.0	0.0	0.0	0.0

