SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.942	20.942	20.942	20.942	20.942	20.942	20.942	20.97	21.0	20.942	20.942	20.942	20.942
20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.951	20.946	21.0	21.0	21.0	21.0
20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.951	20.946	21.0	21.0	21.0	21.0
20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.951	20.946	21.0	21.0	21.0	21.0
20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.951	20.946	21.0	21.0	21.0	21.0
20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.951	20.946	21.0	21.0	21.0	21.0
20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.951	20.946	21.0	21.0	21.0	21.0
20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.951	20.946	21.0	21.0	21.0	21.0
20.97	20.951	20.951	20.951	20.951	20.951	20.951	20.951	21.0	20.969	20.947	20.947	20.947	20.947
21.0	20.946	20.946	20.946	20.946	20.946	20.946	20.946	20.969	21.0	20.942	20.942	20.942	20.942
20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.947	20.942	21.0	21.0	21.0	21.0
20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.947	20.942	21.0	21.0	21.0	21.0
20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.947	20.942	21.0	21.0	21.0	21.0
20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.947	20.942	21.0	21.0	21.0	21.0
