SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.938	20.938	20.938	20.938	20.936	20.765	20.938	20.761	21.0	20.938	20.765	20.938	20.765
20.938	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.933	20.765	21.0	21.0	21.0	21.0
20.938	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.933	20.938	21.0	21.0	21.0	21.0
20.938	21.0	21.0	21.0	21.0	20.998	21.0	21.0	20.933	20.765	21.0	21.0	21.0	21.0
20.938	21.0	21.0	21.0	21.0	20.998	21.0	21.0	20.933	20.765	21.0	21.0	21.0	21.0
20.936	21.0	21.0	20.998	20.998	21.0	20.998	20.998	20.933	20.765	20.998	21.0	20.998	20.998
20.765	21.0	21.0	21.0	21.0	20.998	21.0	21.0	20.933	20.765	21.0	20.998	21.0	21.0
20.938	21.0	21.0	21.0	21.0	20.998	21.0	21.0	20.933	20.765	21.0	21.0	21.0	21.0
20.761	20.933	20.933	20.933	20.933	20.933	20.933	20.933	21.0	20.761	20.933	20.933	20.933	20.933
21.0	20.765	20.938	20.765	20.765	20.765	20.765	20.765	20.761	21.0	20.765	20.765	20.765	20.765
20.938	21.0	21.0	21.0	21.0	20.998	21.0	21.0	20.933	20.765	21.0	21.0	21.0	21.0
20.765	21.0	21.0	21.0	21.0	21.0	20.998	21.0	20.933	20.765	21.0	21.0	21.0	20.998
20.938	21.0	21.0	21.0	21.0	20.998	21.0	21.0	20.933	20.765	21.0	21.0	21.0	21.0
20.765	21.0	21.0	21.0	21.0	20.998	21.0	21.0	20.933	20.765	21.0	20.998	21.0	21.0
