Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

0.0	0.14	0.14	0.141	0.14	0.14	0.14	0.141	0.141	0.136	0.14	0.14	0.141	0.14

0.14	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.008	0.009	0.0	0.0	0.001	0.0

0.14	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.008	0.009	0.0	0.0	0.001	0.0

0.141	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.008	0.009	0.0	0.0	0.0	0.0

0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.008	0.009	0.0	0.0	0.001	0.0

0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.008	0.009	0.0	0.0	0.001	0.0

0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.008	0.009	0.0	0.0	0.001	0.0

0.141	0.001	0.001	0.0	0.001	0.001	0.001	0.0	0.008	0.009	0.0	0.0	0.0	0.0

0.141	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.0	0.007	0.01	0.01	0.011	0.01

0.136	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.007	0.0	0.012	0.012	0.013	0.012

0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.012	0.0	0.0	0.001	0.0

0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.012	0.0	0.0	0.001	0.0

0.141	0.001	0.001	0.0	0.001	0.001	0.001	0.0	0.011	0.013	0.001	0.001	0.0	0.0

0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.012	0.0	0.0	0.0	0.0

