SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	17.07	17.07	17.045	17.07	17.07	17.899	17.045	17.88	17.15	17.07	17.899	17.045	17.899
17.07	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	20.842	21.0	21.0	21.0	21.0
17.07	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	20.877	21.0	21.0	21.0	21.0
17.045	21.0	21.0	21.0	20.975	21.0	20.975	21.0	20.821	20.842	21.0	20.975	21.0	20.975
17.07	21.0	21.0	20.975	21.0	21.0	21.0	20.975	20.846	20.842	21.0	21.0	21.0	21.0
17.07	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	20.842	21.0	21.0	21.0	21.0
17.899	21.0	21.0	20.975	21.0	21.0	21.0	20.975	20.846	20.842	21.0	21.0	20.975	21.0
17.045	21.0	21.0	21.0	20.975	21.0	20.975	21.0	20.821	20.842	21.0	20.975	21.0	20.975
17.88	20.846	20.846	20.821	20.846	20.846	20.846	20.821	21.0	20.798	20.846	20.846	20.821	20.846
17.15	20.842	20.877	20.842	20.842	20.842	20.842	20.842	20.798	21.0	20.842	20.842	20.842	20.842
17.07	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	20.842	21.0	21.0	21.0	21.0
17.899	21.0	21.0	20.975	21.0	21.0	21.0	20.975	20.846	20.842	21.0	21.0	20.975	21.0
17.045	21.0	21.0	21.0	21.0	21.0	20.975	21.0	20.821	20.842	21.0	20.975	21.0	20.975
17.899	21.0	21.0	20.975	21.0	21.0	21.0	20.975	20.846	20.842	21.0	21.0	20.975	21.0
