SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	18.062	18.062	18.037	18.062	18.062	18.892	18.037	18.873	18.15	18.062	18.892	18.037	18.892
18.062	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	20.836	21.0	21.0	21.0	21.0
18.062	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	20.87	21.0	21.0	21.0	21.0
18.037	21.0	21.0	21.0	20.975	21.0	20.975	21.0	20.821	20.836	21.0	20.975	21.0	20.975
18.062	21.0	21.0	20.975	21.0	21.0	21.0	20.975	20.846	20.836	21.0	21.0	21.0	21.0
18.062	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	20.836	21.0	21.0	21.0	21.0
18.892	21.0	21.0	20.975	21.0	21.0	21.0	20.975	20.846	20.836	21.0	21.0	20.975	21.0
18.037	21.0	21.0	21.0	20.975	21.0	20.975	21.0	20.821	20.836	21.0	20.975	21.0	20.975
18.873	20.846	20.846	20.821	20.846	20.846	20.846	20.821	21.0	20.791	20.846	20.846	20.821	20.846
18.15	20.836	20.87	20.836	20.836	20.836	20.836	20.836	20.791	21.0	20.836	20.836	20.836	20.836
18.062	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.846	20.836	21.0	21.0	21.0	21.0
18.892	21.0	21.0	20.975	21.0	21.0	21.0	20.975	20.846	20.836	21.0	21.0	20.975	21.0
18.037	21.0	21.0	21.0	21.0	21.0	20.975	21.0	20.821	20.836	21.0	20.975	21.0	20.975
18.892	21.0	21.0	20.975	21.0	21.0	21.0	20.975	20.846	20.836	21.0	21.0	20.975	21.0
