Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

0.0	1.0	0.006	0.006	0.006	1.0	0.006	0.006	0.007	1.0	0.006	0.006	0.006	0.006

1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.117	1.0	1.0	1.0	1.0

0.006	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.004	1.0	0.0	0.0	0.0	0.0

0.006	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.004	1.0	0.0	0.0	0.0	0.0

0.006	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.004	1.0	0.0	0.0	0.0	0.0

1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.117	1.0	1.0	1.0	1.0

0.006	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.004	1.0	0.0	0.0	0.0	0.0

0.006	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.004	1.0	0.0	0.0	0.0	0.0

0.007	1.0	0.004	0.004	0.004	1.0	0.004	0.004	0.0	1.0	0.002	0.002	0.002	0.002

1.0	0.117	1.0	1.0	1.0	0.117	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0

0.006	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.002	1.0	0.0	0.0	0.0	0.0

0.006	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.002	1.0	0.0	0.0	0.0	0.0

0.006	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.002	1.0	0.0	0.0	0.0	0.0

0.006	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.002	1.0	0.0	0.0	0.0	0.0

