Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	11.976	11.976	11.976	11.976	11.976	11.976	11.976	10.992	21.0	11.976	11.976	11.976	11.976

11.976	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.0	12.036	21.0	21.0	21.0	21.0

11.976	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.0	12.036	21.0	21.0	21.0	21.0

11.976	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.0	12.036	21.0	21.0	21.0	21.0

11.976	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.0	12.036	21.0	21.0	21.0	21.0

11.976	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.0	12.036	21.0	21.0	21.0	21.0

11.976	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.0	12.036	21.0	21.0	21.0	21.0

11.976	21.0	21.0	21.0	21.0	21.0	21.0	21.0	18.0	12.036	21.0	21.0	21.0	21.0

10.992	18.0	18.0	18.0	18.0	18.0	18.0	18.0	21.0	11.058	17.992	17.992	17.992	17.992

21.0	12.036	12.036	12.036	12.036	12.036	12.036	12.036	11.058	21.0	11.976	11.976	11.976	11.976

11.976	21.0	21.0	21.0	21.0	21.0	21.0	21.0	17.992	11.976	21.0	21.0	21.0	21.0

11.976	21.0	21.0	21.0	21.0	21.0	21.0	21.0	17.992	11.976	21.0	21.0	21.0	21.0

11.976	21.0	21.0	21.0	21.0	21.0	21.0	21.0	17.992	11.976	21.0	21.0	21.0	21.0

11.976	21.0	21.0	21.0	21.0	21.0	21.0	21.0	17.992	11.976	21.0	21.0	21.0	21.0

