Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	20.899	20.898	20.896	20.899	20.899	20.899	20.899	20.875	20.994	20.899	20.899	20.899	20.899

20.899	21.0	20.998	20.997	21.0	21.0	21.0	21.0	20.869	20.898	21.0	21.0	21.0	21.0

20.898	20.998	21.0	20.996	20.999	20.999	20.999	20.999	20.868	20.898	20.999	20.999	20.999	20.999

20.896	20.997	20.996	21.0	20.998	20.998	20.998	20.998	20.867	20.896	20.998	20.998	20.998	20.998

20.899	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.869	20.898	21.0	21.0	21.0	21.0

20.899	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.869	20.898	21.0	21.0	21.0	21.0

20.899	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.869	20.898	21.0	21.0	21.0	21.0

20.899	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.869	20.898	21.0	21.0	21.0	21.0

20.875	20.869	20.868	20.867	20.869	20.869	20.869	20.869	21.0	20.884	20.878	20.878	20.878	20.878

20.994	20.898	20.898	20.896	20.898	20.898	20.898	20.898	20.884	21.0	20.903	20.903	20.903	20.903

20.899	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.878	20.903	21.0	21.0	21.0	21.0

20.899	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.878	20.903	21.0	21.0	21.0	21.0

20.899	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.878	20.903	21.0	21.0	21.0	21.0

20.899	21.0	20.999	20.998	21.0	21.0	21.0	21.0	20.878	20.903	21.0	21.0	21.0	21.0

