SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
0.0	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.055	0.0	0.009	0.008	0.008	0.008
0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.009	0.0	0.0	0.0	0.0
0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.009	0.0	0.0	0.0	0.0
0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.009	0.0	0.0	0.0	0.0
0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.009	0.0	0.0	0.0	0.0
0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.009	0.0	0.0	0.0	0.0
0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.009	0.0	0.0	0.0	0.0
0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.009	0.0	0.0	0.0	0.0
0.055	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.0	0.055	0.059	0.059	0.059	0.059
0.0	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.055	0.0	0.009	0.008	0.008	0.008
0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.009	0.0	0.0	0.0	0.0
0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.008	0.0	0.0	0.0	0.0
0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.008	0.0	0.0	0.0	0.0
0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.008	0.0	0.0	0.0	0.0
