Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	20.91	20.91	20.91	20.91	20.91	20.91	20.91	20.903	21.0	20.91	20.91	20.91	20.91

20.91	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.918	20.914	21.0	21.0	21.0	21.0

20.91	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.918	20.914	21.0	21.0	21.0	21.0

20.91	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.918	20.914	21.0	21.0	21.0	21.0

20.91	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.918	20.914	21.0	21.0	21.0	21.0

20.91	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.918	20.914	21.0	21.0	21.0	21.0

20.91	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.918	20.914	21.0	21.0	21.0	21.0

20.91	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.918	20.914	21.0	21.0	21.0	21.0

20.903	20.918	20.918	20.918	20.918	20.918	20.918	20.918	21.0	20.912	20.921	20.921	20.921	20.921

21.0	20.914	20.914	20.914	20.914	20.914	20.914	20.914	20.912	21.0	20.91	20.91	20.91	20.91

20.91	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.921	20.91	21.0	21.0	21.0	21.0

20.91	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.921	20.91	21.0	21.0	21.0	21.0

20.91	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.921	20.91	21.0	21.0	21.0	21.0

20.91	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.921	20.91	21.0	21.0	21.0	21.0

