Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	20.965	20.965	20.965	20.965	20.965	20.965	20.965	20.943	21.0	20.965	20.965	20.965	20.965

20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.961	20.963	21.0	21.0	21.0	21.0

20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.961	20.963	21.0	21.0	21.0	21.0

20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.961	20.963	21.0	21.0	21.0	21.0

20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.961	20.963	21.0	21.0	21.0	21.0

20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.961	20.963	21.0	21.0	21.0	21.0

20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.961	20.963	21.0	21.0	21.0	21.0

20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.961	20.963	21.0	21.0	21.0	21.0

20.943	20.961	20.961	20.961	20.961	20.961	20.961	20.961	21.0	20.946	20.966	20.966	20.966	20.966

21.0	20.963	20.963	20.963	20.963	20.963	20.963	20.963	20.946	21.0	20.963	20.963	20.963	20.963

20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.966	20.963	21.0	21.0	21.0	21.0

20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.966	20.963	21.0	21.0	21.0	21.0

20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.966	20.963	21.0	21.0	21.0	21.0

20.965	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.966	20.963	21.0	21.0	21.0	21.0

