Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3



0.0	0.451	0.451	0.451	0.451	0.451	0.455	0.451	0.506	0.0	0.451	0.455	0.451	0.455



0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.153	0.455	0.0	0.0	0.0	0.0



0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.153	0.451	0.0	0.0	0.0	0.0



0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.153	0.455	0.0	0.0	0.0	0.0



0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.153	0.455	0.0	0.0	0.0	0.0



0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.153	0.455	0.0	0.0	0.0	0.0



0.455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.153	0.455	0.0	0.0	0.0	0.0



0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.153	0.455	0.0	0.0	0.0	0.0



0.506	0.153	0.153	0.153	0.153	0.153	0.153	0.153	0.0	0.506	0.153	0.153	0.153	0.153



0.0	0.455	0.451	0.455	0.455	0.455	0.455	0.455	0.506	0.0	0.455	0.455	0.455	0.455



0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.153	0.455	0.0	0.0	0.0	0.0



0.455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.153	0.455	0.0	0.0	0.0	0.0



0.451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.153	0.455	0.0	0.0	0.0	0.0



0.455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.153	0.455	0.0	0.0	0.0	0.0



