SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	19.87	19.87	19.87	19.87	19.87	18.501	19.87	19.915	21.0	19.87	18.501	19.87	18.501
19.87	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.844	18.501	21.0	21.0	21.0	21.0
19.87	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.844	19.87	21.0	21.0	21.0	21.0
19.87	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.844	18.501	21.0	21.0	21.0	21.0
19.87	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.844	18.501	21.0	21.0	21.0	21.0
19.87	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.844	18.501	21.0	21.0	21.0	21.0
18.501	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.844	18.501	21.0	21.0	21.0	21.0
19.87	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.844	18.501	21.0	21.0	21.0	21.0
19.915	20.844	20.844	20.844	20.844	20.844	20.844	20.844	21.0	19.915	20.844	20.844	20.844	20.844
21.0	18.501	19.87	18.501	18.501	18.501	18.501	18.501	19.915	21.0	18.501	18.501	18.501	18.501
19.87	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.844	18.501	21.0	21.0	21.0	21.0
18.501	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.844	18.501	21.0	21.0	21.0	21.0
19.87	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.844	18.501	21.0	21.0	21.0	21.0
18.501	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.844	18.501	21.0	21.0	21.0	21.0
