SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	16.16	16.16	16.16	16.16	16.16	15.042	16.16	15.149	15.998	16.16	15.042	16.16	15.042
16.16	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.672	15.255	21.0	21.0	21.0	21.0
16.16	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.672	16.16	21.0	21.0	21.0	21.0
16.16	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.672	15.255	21.0	21.0	21.0	21.0
16.16	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.672	15.255	21.0	21.0	21.0	21.0
16.16	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.672	15.255	21.0	21.0	21.0	21.0
15.042	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.672	15.255	21.0	21.0	21.0	21.0
16.16	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.672	15.255	21.0	21.0	21.0	21.0
15.149	20.672	20.672	20.672	20.672	20.672	20.672	20.672	21.0	15.362	20.672	20.672	20.672	20.672
15.998	15.255	16.16	15.255	15.255	15.255	15.255	15.255	15.362	21.0	15.255	15.255	15.255	15.255
16.16	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.672	15.255	21.0	21.0	21.0	21.0
15.042	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.672	15.255	21.0	21.0	21.0	21.0
16.16	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.672	15.255	21.0	21.0	21.0	21.0
15.042	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.672	15.255	21.0	21.0	21.0	21.0
